Metric,Strategy,MedicalCases
accuracy,cot_self_random_consistency,0.3333333333333333
accuracy,vanilla_misleading_avg_conf,0.6666666666666666
accuracy,self_probing_self_random_consistency,0.6666666666666666
accuracy,vanilla_self_random_consistency,0.6666666666666666
accuracy,cot_self_random_avg_conf,0.3333333333333333
accuracy,vanilla_self_random_avg_conf,0.6666666666666666
accuracy,top_k_self_random_consistency,0.6666666666666666
accuracy,top_k_self_random_pair_rank,0.6666666666666666
accuracy,cot_prompt_paraphrasing_consistency,0.3333333333333333
accuracy,self_probing_self_random_avg_conf,0.6666666666666666
accuracy,vanilla_prompt_paraphrasing_consistency,0.3333333333333333
accuracy,multi_step_self_random_avg_conf,0.3333333333333333
ece,cot_self_random_consistency,0.26666666666666666
ece,vanilla_misleading_avg_conf,0.42666666666666664
ece,self_probing_self_random_consistency,0
ece,vanilla_self_random_consistency,0.2
ece,cot_self_random_avg_conf,0.5038888888888888
ece,vanilla_self_random_avg_conf,0.3949999999999999
ece,top_k_self_random_consistency,0.6666666666666666
ece,top_k_self_random_pair_rank,0.6666666666666666
ece,cot_prompt_paraphrasing_consistency,0
ece,self_probing_self_random_avg_conf,0.48
ece,vanilla_prompt_paraphrasing_consistency,0.4
ece,multi_step_self_random_avg_conf,0.5416666666666666
auroc,cot_self_random_consistency,0.5
auroc,vanilla_misleading_avg_conf,0.0
auroc,self_probing_self_random_consistency,1.0
auroc,vanilla_self_random_consistency,1.0
auroc,cot_self_random_avg_conf,0.5
auroc,vanilla_self_random_avg_conf,0.5
auroc,top_k_self_random_consistency,1.0
auroc,top_k_self_random_pair_rank,1.0
auroc,cot_prompt_paraphrasing_consistency,0.0
auroc,self_probing_self_random_avg_conf,0.0
auroc,vanilla_prompt_paraphrasing_consistency,1.0
auroc,multi_step_self_random_avg_conf,0.5
auprc_pos,cot_self_random_consistency,0.3333333333333333
auprc_pos,vanilla_misleading_avg_conf,0.6666666666666666
auprc_pos,self_probing_self_random_consistency,0.6666666666666666
auprc_pos,vanilla_self_random_consistency,0.6666666666666666
auprc_pos,cot_self_random_avg_conf,0.3333333333333333
auprc_pos,vanilla_self_random_avg_conf,0.6666666666666666
auprc_pos,top_k_self_random_consistency,0.6666666666666666
auprc_pos,top_k_self_random_pair_rank,0.6666666666666666
auprc_pos,cot_prompt_paraphrasing_consistency,0.3333333333333333
auprc_pos,self_probing_self_random_avg_conf,0.6666666666666666
auprc_pos,vanilla_prompt_paraphrasing_consistency,0.3333333333333333
auprc_pos,multi_step_self_random_avg_conf,0.3333333333333333
auprc_neg,cot_self_random_consistency,0.6666666666666666
auprc_neg,vanilla_misleading_avg_conf,0.3333333333333333
auprc_neg,self_probing_self_random_consistency,0.3333333333333333
auprc_neg,vanilla_self_random_consistency,0.3333333333333333
auprc_neg,cot_self_random_avg_conf,0.6666666666666666
auprc_neg,vanilla_self_random_avg_conf,0.3333333333333333
auprc_neg,top_k_self_random_consistency,0.3333333333333333
auprc_neg,top_k_self_random_pair_rank,0.3333333333333333
auprc_neg,cot_prompt_paraphrasing_consistency,0.6666666666666666
auprc_neg,self_probing_self_random_avg_conf,0.3333333333333333
auprc_neg,vanilla_prompt_paraphrasing_consistency,0.6666666666666666
auprc_neg,multi_step_self_random_avg_conf,0.6666666666666666
